code,name,definition,icd_tm2,icd_biomed,ayush_system
A001,Asthma,A common viral infection causing fever and weakness.,TM2_042,BIO_054,Siddha
A002,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_085,BIO_013,Ayurveda
A003,Cough,A chronic disease affecting the respiratory system.,TM2_024,BIO_008,Unani
A004,Anemia,A respiratory condition marked by coughing and irritation.,TM2_045,BIO_015,Siddha
A005,Hypertension,A neurological condition causing severe headaches.,TM2_003,BIO_013,Unani
A006,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_095,BIO_083,Unani
A007,Diabetes,Deficiency of red blood cells or hemoglobin.,TM2_002,BIO_097,Unani
A008,Fever,A common viral infection causing fever and weakness.,TM2_068,BIO_062,Ayurveda
A009,Fever,Inflammation of airways causing difficulty in breathing.,TM2_081,BIO_040,Yoga
A010,Asthma,Inflammation of airways causing difficulty in breathing.,TM2_048,BIO_089,Siddha
A011,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_076,BIO_070,Yoga
A012,Hypertension,Deficiency of red blood cells or hemoglobin.,TM2_038,BIO_073,Homeopathy
A013,Malaria,A common viral infection causing fever and weakness.,TM2_073,BIO_006,Ayurveda
A014,Cough,A respiratory condition marked by coughing and irritation.,TM2_068,BIO_002,Unani
A015,Fever,Deficiency of red blood cells or hemoglobin.,TM2_076,BIO_001,Unani
A016,Fever,A common viral infection causing fever and weakness.,TM2_034,BIO_071,Yoga
A017,Malaria,A metabolic disorder characterized by high blood sugar levels.,TM2_080,BIO_015,Unani
A018,Hypertension,Deficiency of red blood cells or hemoglobin.,TM2_081,BIO_065,Siddha
A019,Tuberculosis,A condition involving high blood pressure over a long period.,TM2_055,BIO_059,Siddha
A020,Fever,A neurological condition causing severe headaches.,TM2_024,BIO_033,Siddha
A021,Hypertension,Parasitic infection spread by mosquitoes.,TM2_100,BIO_086,Ayurveda
A022,Arthritis,A chronic disease affecting the respiratory system.,TM2_053,BIO_060,Siddha
A023,Diabetes,A neurological condition causing severe headaches.,TM2_022,BIO_060,Ayurveda
A024,Malaria,A condition involving high blood pressure over a long period.,TM2_046,BIO_064,Unani
A025,Hypertension,A condition involving high blood pressure over a long period.,TM2_043,BIO_061,Yoga
A026,Arthritis,Parasitic infection spread by mosquitoes.,TM2_038,BIO_003,Siddha
A027,Tuberculosis,A neurological condition causing severe headaches.,TM2_047,BIO_055,Homeopathy
A028,Hypertension,Inflammation of airways causing difficulty in breathing.,TM2_010,BIO_032,Unani
A029,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_077,BIO_048,Yoga
A030,Asthma,A condition involving high blood pressure over a long period.,TM2_012,BIO_016,Ayurveda
A031,Migraine,A condition involving high blood pressure over a long period.,TM2_096,BIO_048,Yoga
A032,Arthritis,A metabolic disorder characterized by high blood sugar levels.,TM2_082,BIO_045,Siddha
A033,Anemia,Deficiency of red blood cells or hemoglobin.,TM2_044,BIO_017,Siddha
A034,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_069,BIO_011,Ayurveda
A035,Diabetes,A neurological condition causing severe headaches.,TM2_083,BIO_017,Ayurveda
A036,Diabetes,Deficiency of red blood cells or hemoglobin.,TM2_067,BIO_002,Ayurveda
A037,Cough,Parasitic infection spread by mosquitoes.,TM2_001,BIO_061,Homeopathy
A038,Cough,Parasitic infection spread by mosquitoes.,TM2_005,BIO_058,Siddha
A039,Migraine,A common viral infection causing fever and weakness.,TM2_026,BIO_039,Homeopathy
A040,Arthritis,Joint inflammation leading to pain and stiffness.,TM2_079,BIO_014,Homeopathy
A041,Anemia,A common viral infection causing fever and weakness.,TM2_025,BIO_071,Unani
A042,Diabetes,Deficiency of red blood cells or hemoglobin.,TM2_076,BIO_073,Homeopathy
A043,Arthritis,A condition involving high blood pressure over a long period.,TM2_020,BIO_027,Ayurveda
A044,Migraine,A common viral infection causing fever and weakness.,TM2_042,BIO_040,Siddha
A045,Cough,Parasitic infection spread by mosquitoes.,TM2_054,BIO_004,Homeopathy
A046,Malaria,A common viral infection causing fever and weakness.,TM2_069,BIO_011,Unani
A047,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_085,BIO_045,Yoga
A048,Anemia,A common viral infection causing fever and weakness.,TM2_067,BIO_096,Siddha
A049,Arthritis,Joint inflammation leading to pain and stiffness.,TM2_092,BIO_062,Yoga
A050,Diabetes,A common viral infection causing fever and weakness.,TM2_016,BIO_028,Homeopathy
A051,Fever,Inflammation of airways causing difficulty in breathing.,TM2_032,BIO_018,Yoga
A052,Tuberculosis,Joint inflammation leading to pain and stiffness.,TM2_009,BIO_041,Yoga
A053,Diabetes,Joint inflammation leading to pain and stiffness.,TM2_003,BIO_013,Ayurveda
A054,Cough,A respiratory condition marked by coughing and irritation.,TM2_048,BIO_011,Yoga
A055,Migraine,A respiratory condition marked by coughing and irritation.,TM2_074,BIO_063,Unani
A056,Malaria,Deficiency of red blood cells or hemoglobin.,TM2_049,BIO_084,Yoga
A057,Asthma,A common viral infection causing fever and weakness.,TM2_077,BIO_028,Unani
A058,Migraine,Deficiency of red blood cells or hemoglobin.,TM2_074,BIO_091,Yoga
A059,Hypertension,A common viral infection causing fever and weakness.,TM2_094,BIO_060,Homeopathy
A060,Diabetes,A condition involving high blood pressure over a long period.,TM2_021,BIO_001,Yoga
A061,Hypertension,A respiratory condition marked by coughing and irritation.,TM2_035,BIO_083,Ayurveda
A062,Arthritis,Parasitic infection spread by mosquitoes.,TM2_094,BIO_034,Homeopathy
A063,Fever,Joint inflammation leading to pain and stiffness.,TM2_012,BIO_020,Unani
A064,Migraine,A common viral infection causing fever and weakness.,TM2_089,BIO_091,Siddha
A065,Fever,A condition involving high blood pressure over a long period.,TM2_096,BIO_082,Siddha
A066,Anemia,A neurological condition causing severe headaches.,TM2_030,BIO_045,Yoga
A067,Migraine,A respiratory condition marked by coughing and irritation.,TM2_054,BIO_093,Yoga
A068,Asthma,A respiratory condition marked by coughing and irritation.,TM2_023,BIO_033,Yoga
A069,Asthma,A common viral infection causing fever and weakness.,TM2_031,BIO_021,Unani
A070,Fever,A chronic disease affecting the respiratory system.,TM2_092,BIO_089,Siddha
A071,Anemia,A condition involving high blood pressure over a long period.,TM2_014,BIO_083,Unani
A072,Tuberculosis,A common viral infection causing fever and weakness.,TM2_015,BIO_099,Siddha
A073,Arthritis,A metabolic disorder characterized by high blood sugar levels.,TM2_009,BIO_070,Yoga
A074,Migraine,Joint inflammation leading to pain and stiffness.,TM2_006,BIO_015,Ayurveda
A075,Asthma,A chronic disease affecting the respiratory system.,TM2_001,BIO_084,Homeopathy
A076,Tuberculosis,A chronic disease affecting the respiratory system.,TM2_056,BIO_073,Unani
A077,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_002,BIO_006,Homeopathy
A078,Tuberculosis,Parasitic infection spread by mosquitoes.,TM2_020,BIO_074,Ayurveda
A079,Arthritis,A respiratory condition marked by coughing and irritation.,TM2_016,BIO_018,Homeopathy
A080,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_005,BIO_046,Yoga
A081,Anemia,Joint inflammation leading to pain and stiffness.,TM2_091,BIO_090,Siddha
A082,Tuberculosis,A common viral infection causing fever and weakness.,TM2_041,BIO_073,Homeopathy
A083,Asthma,A common viral infection causing fever and weakness.,TM2_023,BIO_032,Homeopathy
A084,Arthritis,Inflammation of airways causing difficulty in breathing.,TM2_033,BIO_021,Homeopathy
A085,Hypertension,A condition involving high blood pressure over a long period.,TM2_015,BIO_041,Homeopathy
A086,Migraine,A common viral infection causing fever and weakness.,TM2_031,BIO_055,Ayurveda
A087,Migraine,A respiratory condition marked by coughing and irritation.,TM2_070,BIO_070,Siddha
A088,Anemia,Joint inflammation leading to pain and stiffness.,TM2_069,BIO_097,Siddha
A089,Fever,A metabolic disorder characterized by high blood sugar levels.,TM2_009,BIO_065,Ayurveda
A090,Diabetes,A metabolic disorder characterized by high blood sugar levels.,TM2_087,BIO_044,Ayurveda
A091,Malaria,A respiratory condition marked by coughing and irritation.,TM2_009,BIO_079,Ayurveda
A092,Cough,A common viral infection causing fever and weakness.,TM2_001,BIO_089,Unani
A093,Asthma,Joint inflammation leading to pain and stiffness.,TM2_071,BIO_005,Unani
A094,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_065,BIO_033,Siddha
A095,Anemia,Joint inflammation leading to pain and stiffness.,TM2_053,BIO_007,Yoga
A096,Malaria,A common viral infection causing fever and weakness.,TM2_100,BIO_095,Unani
A097,Migraine,A condition involving high blood pressure over a long period.,TM2_055,BIO_059,Siddha
A098,Anemia,Deficiency of red blood cells or hemoglobin.,TM2_076,BIO_050,Siddha
A099,Migraine,Joint inflammation leading to pain and stiffness.,TM2_008,BIO_016,Siddha
A100,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_014,BIO_099,Homeopathy
A101,Asthma,A metabolic disorder characterized by high blood sugar levels.,TM2_068,BIO_081,Homeopathy
A102,Tuberculosis,A neurological condition causing severe headaches.,TM2_094,BIO_059,Ayurveda
A103,Anemia,A neurological condition causing severe headaches.,TM2_023,BIO_054,Ayurveda
A104,Malaria,Joint inflammation leading to pain and stiffness.,TM2_033,BIO_015,Siddha
A105,Hypertension,A condition involving high blood pressure over a long period.,TM2_092,BIO_018,Unani
A106,Tuberculosis,Parasitic infection spread by mosquitoes.,TM2_086,BIO_017,Siddha
A107,Migraine,A condition involving high blood pressure over a long period.,TM2_045,BIO_035,Ayurveda
A108,Cough,A neurological condition causing severe headaches.,TM2_084,BIO_027,Ayurveda
A109,Anemia,A common viral infection causing fever and weakness.,TM2_072,BIO_017,Ayurveda
A110,Cough,Joint inflammation leading to pain and stiffness.,TM2_070,BIO_011,Unani
A111,Asthma,A common viral infection causing fever and weakness.,TM2_073,BIO_063,Yoga
A112,Tuberculosis,Joint inflammation leading to pain and stiffness.,TM2_049,BIO_006,Homeopathy
A113,Hypertension,Inflammation of airways causing difficulty in breathing.,TM2_065,BIO_039,Unani
A114,Diabetes,A metabolic disorder characterized by high blood sugar levels.,TM2_048,BIO_035,Ayurveda
A115,Diabetes,A metabolic disorder characterized by high blood sugar levels.,TM2_069,BIO_086,Unani
A116,Diabetes,Deficiency of red blood cells or hemoglobin.,TM2_037,BIO_100,Homeopathy
A117,Asthma,A condition involving high blood pressure over a long period.,TM2_071,BIO_003,Yoga
A118,Tuberculosis,Joint inflammation leading to pain and stiffness.,TM2_015,BIO_036,Yoga
A119,Diabetes,Deficiency of red blood cells or hemoglobin.,TM2_010,BIO_087,Homeopathy
A120,Fever,A respiratory condition marked by coughing and irritation.,TM2_089,BIO_009,Ayurveda
A121,Arthritis,Inflammation of airways causing difficulty in breathing.,TM2_074,BIO_059,Yoga
A122,Migraine,A condition involving high blood pressure over a long period.,TM2_010,BIO_083,Ayurveda
A123,Diabetes,Inflammation of airways causing difficulty in breathing.,TM2_027,BIO_062,Ayurveda
A124,Asthma,A common viral infection causing fever and weakness.,TM2_062,BIO_002,Yoga
A125,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_098,BIO_074,Homeopathy
A126,Cough,A neurological condition causing severe headaches.,TM2_001,BIO_058,Siddha
A127,Asthma,Joint inflammation leading to pain and stiffness.,TM2_076,BIO_056,Unani
A128,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_069,BIO_052,Homeopathy
A129,Malaria,A condition involving high blood pressure over a long period.,TM2_093,BIO_097,Unani
A130,Anemia,A neurological condition causing severe headaches.,TM2_062,BIO_087,Unani
A131,Malaria,Inflammation of airways causing difficulty in breathing.,TM2_032,BIO_081,Yoga
A132,Hypertension,A neurological condition causing severe headaches.,TM2_096,BIO_060,Ayurveda
A133,Arthritis,Inflammation of airways causing difficulty in breathing.,TM2_025,BIO_003,Homeopathy
A134,Asthma,A respiratory condition marked by coughing and irritation.,TM2_066,BIO_022,Yoga
A135,Hypertension,Deficiency of red blood cells or hemoglobin.,TM2_084,BIO_100,Ayurveda
A136,Migraine,A respiratory condition marked by coughing and irritation.,TM2_084,BIO_047,Yoga
A137,Diabetes,A common viral infection causing fever and weakness.,TM2_049,BIO_093,Homeopathy
A138,Diabetes,A neurological condition causing severe headaches.,TM2_097,BIO_051,Unani
A139,Anemia,A respiratory condition marked by coughing and irritation.,TM2_070,BIO_059,Unani
A140,Malaria,A chronic disease affecting the respiratory system.,TM2_071,BIO_088,Ayurveda
A141,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_099,BIO_015,Yoga
A142,Asthma,A condition involving high blood pressure over a long period.,TM2_066,BIO_095,Yoga
A143,Cough,A common viral infection causing fever and weakness.,TM2_040,BIO_003,Siddha
A144,Hypertension,A condition involving high blood pressure over a long period.,TM2_095,BIO_080,Ayurveda
A145,Arthritis,Parasitic infection spread by mosquitoes.,TM2_003,BIO_011,Ayurveda
A146,Cough,Inflammation of airways causing difficulty in breathing.,TM2_086,BIO_081,Unani
A147,Arthritis,A common viral infection causing fever and weakness.,TM2_013,BIO_068,Siddha
A148,Fever,A respiratory condition marked by coughing and irritation.,TM2_025,BIO_053,Siddha
A149,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_030,BIO_019,Ayurveda
A150,Hypertension,A metabolic disorder characterized by high blood sugar levels.,TM2_088,BIO_055,Yoga
A151,Tuberculosis,Deficiency of red blood cells or hemoglobin.,TM2_081,BIO_084,Ayurveda
A152,Hypertension,Parasitic infection spread by mosquitoes.,TM2_021,BIO_048,Siddha
A153,Malaria,A chronic disease affecting the respiratory system.,TM2_088,BIO_088,Yoga
A154,Hypertension,Inflammation of airways causing difficulty in breathing.,TM2_045,BIO_090,Homeopathy
A155,Arthritis,A condition involving high blood pressure over a long period.,TM2_031,BIO_045,Siddha
A156,Arthritis,A neurological condition causing severe headaches.,TM2_061,BIO_003,Yoga
A157,Hypertension,A respiratory condition marked by coughing and irritation.,TM2_071,BIO_081,Yoga
A158,Arthritis,A condition involving high blood pressure over a long period.,TM2_015,BIO_071,Yoga
A159,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_081,BIO_099,Homeopathy
A160,Anemia,A chronic disease affecting the respiratory system.,TM2_021,BIO_003,Homeopathy
A161,Anemia,A respiratory condition marked by coughing and irritation.,TM2_049,BIO_045,Yoga
A162,Cough,A respiratory condition marked by coughing and irritation.,TM2_078,BIO_015,Unani
A163,Tuberculosis,Inflammation of airways causing difficulty in breathing.,TM2_074,BIO_076,Unani
A164,Migraine,A metabolic disorder characterized by high blood sugar levels.,TM2_010,BIO_008,Homeopathy
A165,Anemia,Deficiency of red blood cells or hemoglobin.,TM2_059,BIO_032,Yoga
A166,Anemia,A neurological condition causing severe headaches.,TM2_080,BIO_032,Siddha
A167,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_028,BIO_058,Ayurveda
A168,Tuberculosis,A neurological condition causing severe headaches.,TM2_025,BIO_067,Siddha
A169,Anemia,Joint inflammation leading to pain and stiffness.,TM2_021,BIO_063,Siddha
A170,Malaria,Parasitic infection spread by mosquitoes.,TM2_077,BIO_023,Siddha
A171,Fever,Parasitic infection spread by mosquitoes.,TM2_003,BIO_063,Ayurveda
A172,Anemia,Inflammation of airways causing difficulty in breathing.,TM2_029,BIO_096,Yoga
A173,Migraine,A respiratory condition marked by coughing and irritation.,TM2_065,BIO_038,Unani
A174,Asthma,A condition involving high blood pressure over a long period.,TM2_017,BIO_064,Siddha
A175,Asthma,A condition involving high blood pressure over a long period.,TM2_045,BIO_054,Yoga
A176,Migraine,A respiratory condition marked by coughing and irritation.,TM2_028,BIO_044,Siddha
A177,Tuberculosis,A neurological condition causing severe headaches.,TM2_097,BIO_037,Homeopathy
A178,Arthritis,A chronic disease affecting the respiratory system.,TM2_088,BIO_035,Yoga
A179,Asthma,Deficiency of red blood cells or hemoglobin.,TM2_015,BIO_039,Homeopathy
A180,Fever,Joint inflammation leading to pain and stiffness.,TM2_098,BIO_003,Homeopathy
A181,Anemia,A respiratory condition marked by coughing and irritation.,TM2_039,BIO_011,Homeopathy
A182,Tuberculosis,Parasitic infection spread by mosquitoes.,TM2_009,BIO_080,Homeopathy
A183,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_042,BIO_027,Ayurveda
A184,Cough,Inflammation of airways causing difficulty in breathing.,TM2_027,BIO_069,Yoga
A185,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_001,BIO_033,Homeopathy
A186,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_046,BIO_037,Ayurveda
A187,Anemia,A condition involving high blood pressure over a long period.,TM2_025,BIO_024,Siddha
A188,Hypertension,Parasitic infection spread by mosquitoes.,TM2_055,BIO_021,Siddha
A189,Fever,A chronic disease affecting the respiratory system.,TM2_078,BIO_010,Homeopathy
A190,Diabetes,A common viral infection causing fever and weakness.,TM2_085,BIO_094,Yoga
A191,Migraine,A respiratory condition marked by coughing and irritation.,TM2_084,BIO_008,Unani
A192,Cough,A condition involving high blood pressure over a long period.,TM2_037,BIO_073,Unani
A193,Anemia,A chronic disease affecting the respiratory system.,TM2_059,BIO_044,Homeopathy
A194,Hypertension,A metabolic disorder characterized by high blood sugar levels.,TM2_046,BIO_066,Ayurveda
A195,Anemia,A chronic disease affecting the respiratory system.,TM2_002,BIO_018,Ayurveda
A196,Hypertension,Parasitic infection spread by mosquitoes.,TM2_058,BIO_086,Unani
A197,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_091,BIO_008,Ayurveda
A198,Asthma,Parasitic infection spread by mosquitoes.,TM2_029,BIO_006,Yoga
A199,Arthritis,Parasitic infection spread by mosquitoes.,TM2_059,BIO_005,Siddha
A200,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_041,BIO_088,Siddha
A201,Hypertension,A respiratory condition marked by coughing and irritation.,TM2_052,BIO_059,Unani
A202,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_005,BIO_084,Unani
A203,Anemia,A chronic disease affecting the respiratory system.,TM2_045,BIO_050,Ayurveda
A204,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_046,BIO_050,Unani
A205,Malaria,A condition involving high blood pressure over a long period.,TM2_018,BIO_076,Siddha
A206,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_094,BIO_086,Siddha
A207,Malaria,Inflammation of airways causing difficulty in breathing.,TM2_087,BIO_015,Ayurveda
A208,Cough,Parasitic infection spread by mosquitoes.,TM2_026,BIO_064,Homeopathy
A209,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_027,BIO_045,Siddha
A210,Hypertension,A condition involving high blood pressure over a long period.,TM2_045,BIO_099,Ayurveda
A211,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_047,BIO_088,Unani
A212,Malaria,Deficiency of red blood cells or hemoglobin.,TM2_053,BIO_002,Homeopathy
A213,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_089,BIO_011,Homeopathy
A214,Hypertension,A neurological condition causing severe headaches.,TM2_004,BIO_014,Siddha
A215,Cough,A chronic disease affecting the respiratory system.,TM2_025,BIO_066,Siddha
A216,Cough,A metabolic disorder characterized by high blood sugar levels.,TM2_070,BIO_081,Homeopathy
A217,Cough,A chronic disease affecting the respiratory system.,TM2_049,BIO_036,Siddha
A218,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_043,BIO_027,Homeopathy
A219,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_033,BIO_087,Homeopathy
A220,Fever,A common viral infection causing fever and weakness.,TM2_011,BIO_072,Homeopathy
A221,Diabetes,A chronic disease affecting the respiratory system.,TM2_014,BIO_081,Homeopathy
A222,Cough,A condition involving high blood pressure over a long period.,TM2_085,BIO_051,Ayurveda
A223,Tuberculosis,A respiratory condition marked by coughing and irritation.,TM2_088,BIO_087,Unani
A224,Fever,A condition involving high blood pressure over a long period.,TM2_092,BIO_072,Siddha
A225,Anemia,A metabolic disorder characterized by high blood sugar levels.,TM2_064,BIO_047,Siddha
A226,Cough,A respiratory condition marked by coughing and irritation.,TM2_074,BIO_068,Unani
A227,Hypertension,Joint inflammation leading to pain and stiffness.,TM2_030,BIO_078,Yoga
A228,Cough,Inflammation of airways causing difficulty in breathing.,TM2_068,BIO_080,Unani
A229,Cough,Inflammation of airways causing difficulty in breathing.,TM2_007,BIO_066,Unani
A230,Cough,Deficiency of red blood cells or hemoglobin.,TM2_034,BIO_043,Ayurveda
A231,Cough,Deficiency of red blood cells or hemoglobin.,TM2_099,BIO_045,Unani
A232,Anemia,Deficiency of red blood cells or hemoglobin.,TM2_084,BIO_057,Siddha
A233,Malaria,Deficiency of red blood cells or hemoglobin.,TM2_007,BIO_078,Unani
A234,Malaria,A respiratory condition marked by coughing and irritation.,TM2_095,BIO_026,Siddha
A235,Migraine,A respiratory condition marked by coughing and irritation.,TM2_041,BIO_063,Yoga
A236,Hypertension,Deficiency of red blood cells or hemoglobin.,TM2_069,BIO_003,Unani
A237,Anemia,A common viral infection causing fever and weakness.,TM2_062,BIO_091,Siddha
A238,Arthritis,A neurological condition causing severe headaches.,TM2_070,BIO_049,Yoga
A239,Anemia,Parasitic infection spread by mosquitoes.,TM2_012,BIO_003,Yoga
A240,Arthritis,Joint inflammation leading to pain and stiffness.,TM2_036,BIO_027,Ayurveda
A241,Migraine,Inflammation of airways causing difficulty in breathing.,TM2_010,BIO_031,Ayurveda
A242,Malaria,A condition involving high blood pressure over a long period.,TM2_065,BIO_071,Ayurveda
A243,Arthritis,A common viral infection causing fever and weakness.,TM2_082,BIO_092,Homeopathy
A244,Migraine,A neurological condition causing severe headaches.,TM2_067,BIO_088,Yoga
A245,Arthritis,Joint inflammation leading to pain and stiffness.,TM2_093,BIO_099,Ayurveda
A246,Tuberculosis,A metabolic disorder characterized by high blood sugar levels.,TM2_011,BIO_022,Yoga
A247,Diabetes,Deficiency of red blood cells or hemoglobin.,TM2_031,BIO_032,Yoga
A248,Fever,A respiratory condition marked by coughing and irritation.,TM2_075,BIO_039,Siddha
